Trash begin	trash_counter	Trash end	Loopback begin	Loopback end	Wait First begin	Wait First Samples	Wait First end	Wait Sample begin	Wait Sample	Wait Sample end
[s]	[1]	[s]	[s]	[s]	[s]	[1]	[s]	[s]	[1]	[s]
0.0	1	0.005995035171508789	0.007995128631591797	0.11664962768554688	0.11664962768554688	1	0.16262030601501465	0.16262030601501465	3	0.3055307865142822
0.3115265369415283	1	0.31752586364746094	0.32152557373046875	0.42745447158813477	0.42745447158813477	1	0.46143579483032227	0.4624354839324951	3	0.5604028701782227
0.56939697265625	1	0.5753955841064453	0.5773937702178955	0.6884915828704834	0.6884915828704834	1	0.715503454208374	0.715503454208374	3	0.8209538459777832
0.829951286315918	1	0.8359427452087402	0.8379421234130859	0.9480657577514648	0.9480657577514648	1	0.981093168258667	0.981093168258667	3	1.071054458618164
1.0760457515716553	1	1.0820460319519043	1.0860435962677002	1.1952316761016846	1.1962318420410156	1	1.2242143154144287	1.2242143154144287	3	1.3261744976043701
1.337162971496582	1	1.3431577682495117	1.347156286239624	1.5733559131622314	1.5733559131622314	1	1.6203746795654297	1.6203746795654297	3	1.774552822113037
1.7825429439544678	1	1.7885384559631348	1.7905375957489014	1.898780107498169	1.898780107498169	1	1.931835651397705	1.931835651397705	3	2.067136764526367
2.071136236190796	1	2.077134370803833	2.079132556915283	2.185096263885498	2.185096263885498	1	2.214080572128296	2.214080572128296	3	2.3239455223083496
2.3269450664520264	1	2.3329405784606934	2.3369381427764893	2.4438722133636475	2.4438722133636475	1	2.472852945327759	2.472852945327759	3	2.566795587539673
2.571793556213379	1	2.577791213989258	2.579787254333496	2.685720682144165	2.685720682144165	1	2.7137038707733154	2.7137038707733154	3	2.8276329040527344
2.830631732940674	1	2.8366286754608154	2.8386268615722656	2.9445607662200928	2.9445607662200928	1	2.973543167114258	2.973543167114258	3	3.0694830417633057
3.0754806995391846	1	3.0814764499664307	3.0834736824035645	3.190408945083618	3.190408945083618	1	3.2173919677734375	3.2173919677734375	3	3.378291130065918
3.3824691772460938	1	3.3884692192077637	3.3904623985290527	3.5017287731170654	3.5017287731170654	1	3.534708023071289	3.534708023071289	3	3.665963649749756
3.668961524963379	1	3.6749610900878906	3.678987979888916	3.790348768234253	3.790348768234253	1	3.835315227508545	3.835315227508545	3	3.9294304847717285
3.932426691055298	1	3.9384751319885254	3.9404232501983643	4.049654483795166	4.049654483795166	1	4.086625337600708	4.086625337600708	3	4.171456336975098
4.175452947616577	1	4.181448698043823	4.185446739196777	4.294485330581665	4.29548454284668	1	4.333457708358765	4.333457708358765	3	4.429395437240601
4.432393789291382	1	4.4383909702301025	4.442387342453003	4.547322988510132	4.547322988510132	1	4.575343132019043	4.575343132019043	3	4.685274124145508
4.6902735233306885	1	4.696268081665039	4.7002646923065186	4.806285381317139	4.806285381317139	1	4.833267688751221	4.833267688751221	3	4.975180625915527
4.979178190231323	1	4.985172510147095	4.987171411514282	5.092109203338623	5.092109203338623	1	5.132082462310791	5.132082462310791	3	5.279991149902344
5.283987998962402	1	5.2899863719940186	5.293983697891235	5.398918867111206	5.398918867111206	1	5.442892074584961	5.442892074584961	3	5.5258378982543945
5.5288379192352295	1	5.534832239151001	5.53683066368103	5.641767978668213	5.641767978668213	1	5.683742523193359	5.683742523193359	3	5.791674613952637
5.7956719398498535	1	5.801671504974365	5.805666446685791	5.911602020263672	5.911602020263672	1	5.939580917358398	5.939580917358398	3	6.037519931793213
6.040518760681152	1	6.046515464782715	6.048513889312744	6.155447959899902	6.155447959899902	1	6.1844329833984375	6.1844329833984375	3	6.292363166809082
6.296360731124878	1	6.302374839782715	6.306375026702881	6.416354179382324	6.416354179382324	1	6.452407598495483	6.452407598495483	3	6.584397792816162
6.588395595550537	1	6.5943922996521	6.596391439437866	6.706199645996094	6.707204818725586	1	6.74121356010437	6.74121356010437	3	6.893411874771118
6.896410703659058	1	6.90244197845459	6.904438257217407	7.013856649398804	7.013856649398804	1	7.047838926315308	7.047838926315308	3	7.1470818519592285
7.155075311660767	1	7.161071300506592	7.163069486618042	7.2736639976501465	7.2736639976501465	1	7.306663751602173	7.306663751602173	3	7.396698236465454
7.407688140869141	1	7.41368842124939	7.415685653686523	7.524421691894531	7.524421691894531	1	7.55740213394165	7.55740213394165	3	7.638395071029663
7.640394449234009	1	7.6463916301727295	7.650391101837158	7.77573299407959	7.77573299407959	1	7.794717073440552	7.794717073440552	3	7.9118287563323975
7.91632342338562	1	7.922321081161499	7.9243199825286865	8.14746356010437	8.14746356010437	1	8.193546056747437	8.193546056747437	3	8.338846683502197
8.343842506408691	1	8.349841117858887	8.353838682174683	8.462273120880127	8.462273120880127	1	8.499253273010254	8.499253273010254	3	8.648301601409912
8.65130066871643	1	8.657297134399414	8.659294366836548	8.769536018371582	8.769536018371582	1	8.805516481399536	8.805516481399536	3	8.900022983551025
8.903021574020386	1	8.90902042388916	8.913113594055176	9.042214632034302	9.042214632034302	1	9.063205242156982	9.063205242156982	3	9.15149211883545
9.154491424560547	1	9.160487651824951	9.164483070373535	9.275496244430542	9.275496244430542	1	9.297485589981079	9.297485589981079	3	9.403415203094482
9.407411813735962	1	9.413407802581787	9.417450189590454	9.525688171386719	9.525688171386719	1	9.558670997619629	9.558670997619629	3	9.654015302658081
9.65701413154602	1	9.663008451461792	9.665030479431152	9.775196552276611	9.775196552276611	1	9.814176797866821	9.814176797866821	3	9.956084728240967
9.960082769393921	1	9.966077327728271	9.9680757522583	10.077123880386353	10.077123880386353	1	10.105100870132446	10.105100870132446	3	10.253119945526123
10.257119178771973	1	10.263117790222168	10.265117406845093	10.37520694732666	10.37520694732666	1	10.409186840057373	10.409186840057373	3	10.5012366771698
10.504235744476318	1	10.510235071182251	10.51231074333191	10.62381887435913	10.62381887435913	1	10.654797077178955	10.654797077178955	3	10.756732702255249
10.76172947883606	1	10.767726421356201	10.769726276397705	10.880895137786865	10.880895137786865	1	10.913920640945435	10.913920640945435	3	11.007994651794434
11.01099181175232	1	11.017096042633057	11.019100189208984	11.130500078201294	11.131503343582153	1	11.16748046875	11.16748046875	3	11.255560636520386
11.260557651519775	1	11.266556024551392	11.268555879592896	11.374488353729248	11.374488353729248	1	11.406466722488403	11.406466722488403	3	11.55837345123291
11.562370777130127	1	11.568365812301636	11.570364475250244	11.676301717758179	11.676301717758179	1	11.723270893096924	11.723270893096924	3	11.860389232635498
11.863388061523438	1	11.869386196136475	11.871381521224976	11.982369184494019	11.982369184494019	1	12.016348123550415	12.01734972000122	3	12.110307693481445
12.11330509185791	1	12.119304418563843	12.12130093574524	12.22969913482666	12.22969913482666	1	12.261799097061157	12.261799097061157	3	12.372998237609863
12.383992433547974	1	12.38998794555664	12.391988039016724	12.500061988830566	12.500061988830566	1	12.536038875579834	12.536038875579834	3	12.619050025939941
12.624048233032227	1	12.630041122436523	12.63204312324524	12.742001295089722	12.742001295089722	1	12.778043746948242	12.778043746948242	3	12.873154640197754
12.897139549255371	2	12.909131526947021	12.919128656387329	13.023092031478882	13.023092031478882	1	13.069062948226929	13.069062948226929	3	13.167428970336914
